name,stateAbbr,district,stateDistrict,phone,area,searchTerms
Ed Case,HI,01,HI01,(202) 225-2726,Honolulu,Honolulu|Waikiki|Oahu|Pearl City|Aiea|Kailua|Kaneohe|Mililani|Ewa Beach|Kapolei|Waipahu|Hawaii Kai|Manoa|Makiki
Eric Sorensen,IL,17,IL17,(202) 225-5905,Quad Cities/Peoria,Quad Cities|Peoria|Rock Island|Moline|Bloomington|Normal|East Peoria|Pekin|Galesburg|Macomb|Sterling|Dixon|Kewanee|Canton|Morton
K. McDonald Rivet,MI,08,MI08,(202) 225-3611,Lansing area,Lansing|East Lansing|Ingham County|Clinton County|Eaton County|Mason|Charlotte|Grand Ledge|DeWitt|Holt|Okemos|Haslett|Williamston|St. Johns
Emanuel Cleaver,MO,05,MO05,(202) 225-4535,Kansas City,Kansas City|Independence|Blue Springs|Jackson County|Raytown|Grandview|Lee's Summit|Grain Valley|Oak Grove|Sugar Creek|Buckner
Donald Davis,NC,01,NC01,(202) 225-3101,Eastern NC/Greenville,Eastern NC|Greenville|New Bern|Kinston|Pitt County|Rocky Mount|Wilson|Tarboro|Edenton|Elizabeth City|Goldsboro|Washington|Havelock|Jacksonville NC
Don Bacon,NE,02,NE02,(202) 225-4155,Omaha,Omaha|Bellevue|Papillion|Douglas County|Sarpy County|La Vista|Ralston|Gretna|Elkhorn|Boys Town|Offutt|Millard|Dundee|Benson
Chris Smith,NJ,04,NJ04,(202) 225-3765,Monmouth/Shore,Monmouth|Jersey Shore|Freehold|Lakewood|Ocean County|Toms River|Jackson|Howell|Wall|Colts Neck|Manalapan|Brick|Point Pleasant|Asbury Park|Long Branch|Red Bank
Thomas Kean Jr.,NJ,07,NJ07,(202) 225-5361,Central NJ/Summit,Central NJ|Summit|Westfield|Bridgewater|Somerset|Union County|Cranford|Scotch Plains|Berkeley Heights|New Providence|Warren|Watchung|Chatham|Madison|Florham Park|Livingston
Gabe Vasquez,NM,02,NM02,(202) 225-2365,Las Cruces/Southern NM,Las Cruces|Southern NM|Dona Ana County|Alamogordo|Carlsbad|Deming|Silver City|Truth or Consequences|Roswell|Artesia|Hobbs|Lovington|Sunland Park|Anthony|Mesilla
Nick LaLota,NY,01,NY01,(202) 225-3826,Eastern Long Island,Eastern Long Island|Hamptons|Riverhead|Suffolk County|Brookhaven|Smithtown|Port Jefferson|Patchogue|Southampton|East Hampton|Montauk|Shelter Island|Sag Harbor|Mattituck|Greenport
Andrew Garbarino,NY,02,NY02,(202) 225-7896,South Shore Long Island,South Shore Long Island|Babylon|Islip|Suffolk County|Bay Shore|Lindenhurst|Amityville|Copiague|West Islip|Massapequa|Seaford|Wantagh|Bellmore|Merrick|Freeport
Nicole Malliotakis,NY,11,NY11,(202) 225-3371,Staten Island,Staten Island|Bay Ridge|Brooklyn|Dyker Heights|Bensonhurst|Bath Beach|Gravesend|New Dorp|Tottenville|Great Kills|Midland Beach|Todt Hill|St. George|Stapleton
Michael Rulli,OH,06,OH06,(202) 225-5705,Steubenville/Eastern OH,Steubenville|Eastern OH|Youngstown|Mahoning|Columbiana|Salem|East Liverpool|Lisbon|Boardman|Canfield|Poland|Austintown|Warren|Niles|Girard
Max Miller,OH,07,OH07,(202) 225-3876,Northeast OH/Medina,Northeast OH|Medina|Wooster|Wadsworth|Wayne County|Brunswick|Strongsville|North Royalton|Broadview Heights|Lodi|Orrville|Rittman|Seville|Hinckley|Richfield
Warren Davidson,OH,08,OH08,(202) 225-6205,Troy/Butler County,Troy|Butler County|Middletown|Hamilton|Preble County|Piqua|Sidney|Tipp City|Fairfield|Oxford|Lebanon|Monroe|Eaton|Greenville|Xenia
Mike Turner,OH,10,OH10,(202) 225-6465,Dayton,Dayton|Kettering|Beavercreek|Montgomery County|Centerville|Oakwood|Huber Heights|Fairborn|Riverside|Vandalia|Englewood|Miamisburg|Springboro|West Carrollton
Rob Bresnahan,PA,08,PA08,(202) 225-5546,Scranton/Wilkes-Barre,Scranton|Wilkes-Barre|Hazleton|Luzerne County|Lackawanna County|Pittston|Nanticoke|Kingston|Dunmore|Carbondale|Old Forge|Clarks Summit|Dallas|Mountaintop|Moosic
Henry Cuellar,TX,28,TX28,(202) 225-1640,Laredo,Laredo|Webb County|Rio Grande Valley|Starr County|Zapata|Rio Grande City|Roma|San Ygnacio|Hebbronville|Cotulla|Pearsall|Eagle Pass
Jen Kiggans,VA,02,VA02,(202) 225-4215,Virginia Beach,Virginia Beach|Norfolk|Hampton Roads|Chesapeake|Eastern Shore|Accomack|Northampton|Poquoson|Williamsburg|Yorktown|Hampton|Gloucester|Mathews|Cape Charles
Marie Perez,WA,03,WA03,(202) 225-3536,Vancouver WA,Vancouver WA|Clark County|Longview|Kelso|Woodland|Battle Ground|Ridgefield|Camas|Washougal|La Center|Kalama|Castle Rock|Cathlamet
Don Newhouse,WA,04,WA04,(202) 225-5816,Yakima/Tri-Cities,Yakima|Tri-Cities|Kennewick|Richland|Pasco|Walla Walla|Ellensburg|Sunnyside|Grandview|Prosser|Toppenish|Selah|Moses Lake|Othello|Ephrata|Wenatchee
Kim Schrier,WA,08,WA08,(202) 225-7761,Issaquah/East King County,Issaquah|East King County|Sammamish|Auburn|Enumclaw|Wenatchee|North Bend|Snoqualmie|Maple Valley|Covington|Black Diamond|Bonney Lake|Buckley|Leavenworth|Cashmere|Ellensburg
Adam Smith,WA,09,WA09,(202) 225-8901,South Seattle/Tacoma,South Seattle|Tacoma|Renton|Kent|Federal Way|SeaTac|Tukwila|Burien|Des Moines|Lakewood|University Place|Fife|Milton|Pacific|Algona|Normandy Park
