name,party,stateAbbr,district,stateDistrict,phone,area,searchTerms,targeted
Brian Mast,R,FL,21,FL21,(202) 225-3026,Treasure Coast/Stuart,Treasure Coast|Stuart|Port St. Lucie|Jensen Beach|Martin County|St. Lucie County|Indian River County|Vero Beach|Sebastian|Fort Pierce|Hutchinson Island|Palm City|Hobe Sound,Y
Lois Frankel,D,FL,22,FL22,(202) 225-9890,,,
Jared Moskowitz,D,FL,23,FL23,(202) 225-3001,,,
Frederica Wilson,D,FL,24,FL24,(202) 225-4506,,,
Debbie Wasserman Schultz,D,FL,25,FL25,(202) 225-7931,,,
Mario Diaz-Balart,R,FL,26,FL26,(202) 225-4211,West Miami-Dade,West Miami-Dade|Doral|Sweetwater|Hialeah|Kendall|Miami Lakes|Hialeah Gardens|Medley|Virginia Gardens|Fontainebleau|Westchester|Tamiami|Country Walk,Y
Maria Salazar,R,FL,27,FL27,(202) 225-3931,,,
Carlos Gimenez,R,FL,28,FL28,(202) 225-2778,South Miami-Dade/Keys,South Miami-Dade|Keys|Key West|Homestead|Florida City|Key Largo|Marathon|Islamorada|Cutler Bay|Palmetto Bay|Pinecrest|Coral Gables|Coconut Grove|Key Biscayne,Y
Earl Carter,R,GA,01,GA01,(202) 225-5831,,,
Sanford Bishop Jr.,D,GA,02,GA02,(202) 225-3631,,,
Brian Jack,R,GA,03,GA03,(202) 225-5901,,,
Henry Johnson Jr.,D,GA,04,GA04,(202) 225-1605,,,
Nikema Williams,D,GA,05,GA05,(202) 225-3801,,,
Lucy McBath,D,GA,06,GA06,(202) 225-4501,,,
Richard McCormick,R,GA,07,GA07,(202) 225-4272,,,
Austin Scott,R,GA,08,GA08,(202) 225-6531,,,
Andrew Clyde,R,GA,09,GA09,(202) 225-9893,,,
Mike Collins,R,GA,10,GA10,(202) 225-4101,,,
Barry Loudermilk,R,GA,11,GA11,(202) 225-2931,,,
Rick Allen,R,GA,12,GA12,(202) 225-2823,,,
David Scott,D,GA,13,GA13,(202) 225-2939,,,
 ,,GA,14,GA14,(202) 225-5211,,,
James Moylan,R,GU,Delegate,GUDelegate,(202) 225-1188,,,
Ed Case,D,HI,01,HI01,(202) 225-2726,Honolulu,Honolulu|Waikiki|Oahu|Pearl City|Aiea|Kailua|Kaneohe|Mililani|Ewa Beach|Kapolei|Waipahu|Hawaii Kai|Manoa|Makiki,Y
Jill Tokuda,D,HI,02,HI02,(202) 225-4906,,,
Mariannette Miller-Meeks,R,IA,01,IA01,(202) 225-6576,,,
Ashley Hinson,R,IA,02,IA02,(202) 225-2911,,,
Zachary Nunn,R,IA,03,IA03,(202) 225-5476,,,
Randy Feenstra,R,IA,04,IA04,(202) 225-4426,,,
Russ Fulcher,R,ID,01,ID01,(202) 225-6611,,,
Michael Simpson,R,ID,02,ID02,(202) 225-5531,,,
Jonathan Jackson,D,IL,01,IL01,(202) 225-4372,,,
Robin Kelly,D,IL,02,IL02,(202) 225-0773,,,
Delia Ramirez,D,IL,03,IL03,(202) 225-5701,,,
Jesús García,D,IL,04,IL04,(202) 225-8203,,,
Mike Quigley,D,IL,05,IL05,(202) 225-4061,,,
Sean Casten,D,IL,06,IL06,(202) 225-4561,,,
Danny Davis,D,IL,07,IL07,(202) 225-5006,,,
Raja Krishnamoorthi,D,IL,08,IL08,(202) 225-3711,,,
Janice Schakowsky,D,IL,09,IL09,(202) 225-2111,,,
Bradley Schneider,D,IL,10,IL10,(202) 225-4835,,,
Bill Foster,D,IL,11,IL11,(202) 225-3515,,,
Mike Bost,R,IL,12,IL12,(202) 225-5661,,,
Nikki Budzinski,D,IL,13,IL13,(202) 225-2371,,,
Lauren Underwood,D,IL,14,IL14,(202) 225-2976,,,
Mary Miller,R,IL,15,IL15,(202) 225-5271,,,
Darin LaHood,R,IL,16,IL16,(202) 225-6201,,,
Eric Sorensen,D,IL,17,IL17,(202) 225-5905,Quad Cities/Peoria,Quad Cities|Peoria|Rock Island|Moline|Bloomington|Normal|East Peoria|Pekin|Galesburg|Macomb|Sterling|Dixon|Kewanee|Canton|Morton,Y
Frank Mrvan,D,IN,01,IN01,(202) 225-2461,,,
Rudy Yakym III,R,IN,02,IN02,(202) 225-3915,,,
Marlin Stutzman,R,IN,03,IN03,(202) 225-4436,,,
James Baird,R,IN,04,IN04,(202) 225-5037,,,
Victoria Spartz,R,IN,05,IN05,(202) 225-2276,,,
Jefferson Shreve,R,IN,06,IN06,(202) 225-3021,,,
André Carson,D,IN,07,IN07,(202) 225-4011,,,
Mark Messmer,R,IN,08,IN08,(202) 225-4636,,,
Erin Houchin,R,IN,09,IN09,(202) 225-5315,,,
Tracey Mann,R,KS,01,KS01,(202) 225-2715,,,
Derek Schmidt,R,KS,02,KS02,(202) 225-6601,,,
Sharice Davids,D,KS,03,KS03,(202) 225-2865,,,
Ron Estes,R,KS,04,KS04,(202) 225-6216,,,
James Comer,R,KY,01,KY01,(202) 225-3115,,,
Brett Guthrie,R,KY,02,KY02,(202) 225-3501,,,
Morgan McGarvey,D,KY,03,KY03,(202) 225-5401,,,
Thomas Massie,R,KY,04,KY04,(202) 225-3465,,,
Harold Rogers,R,KY,05,KY05,(202) 225-4601,,,
Andy Barr,R,KY,06,KY06,(202) 225-4706,,,
Steve Scalise,R,LA,01,LA01,(202) 225-3015,,,
Troy Carter,D,LA,02,LA02,(202) 225-6636,,,
Clay Higgins,R,LA,03,LA03,(202) 225-2031,,,
Mike Johnson,R,LA,04,LA04,(202) 225-2777,,,
Julia Letlow,R,LA,05,LA05,(202) 225-8490,,,
Cleo Fields,D,LA,06,LA06,(202) 225-3901,,,
Richard Neal,D,MA,01,MA01,(202) 225-5601,,,
James McGovern,D,MA,02,MA02,(202) 225-6101,,,
Lori Trahan,D,MA,03,MA03,(202) 225-3411,,,
Jake Auchincloss,D,MA,04,MA04,(202) 225-5931,,,
Katherine Clark,D,MA,05,MA05,(202) 225-2836,,,
Seth Moulton,D,MA,06,MA06,(202) 225-8020,,,
Ayanna Pressley,D,MA,07,MA07,(202) 225-5111,,,
Stephen Lynch,D,MA,08,MA08,(202) 225-8273,,,
William Keating,D,MA,09,MA09,(202) 225-3111,,,
Andy Harris,R,MD,01,MD01,(202) 225-5311,,,
Johnny Olszewski Jr.,D,MD,02,MD02,(202) 225-3061,,,
Sarah Elfreth,D,MD,03,MD03,(202) 225-4016,,,
Glenn Ivey,D,MD,04,MD04,(202) 225-8699,,,
Steny Hoyer,D,MD,05,MD05,(202) 225-4131,,,
April McClain Delaney,D,MD,06,MD06,(202) 225-2721,,,
Kweisi Mfume,D,MD,07,MD07,(202) 225-4741,,,
Jamie Raskin,D,MD,08,MD08,(202) 225-5341,,,
Chellie Pingree,D,ME,01,ME01,(202) 225-6116,,,
Jared Golden,D,ME,02,ME02,(202) 225-6306,,,
Jack Bergman,R,MI,01,MI01,(202) 225-4735,,,
John Moolenaar,R,MI,02,MI02,(202) 225-3561,,,
Hillary Scholten,D,MI,03,MI03,(202) 225-3831,,,
Bill Huizenga,R,MI,04,MI04,(202) 225-4401,,,
Tim Walberg,R,MI,05,MI05,(202) 225-6276,,,
Debbie Dingell,D,MI,06,MI06,(202) 225-4071,,,
Tom Barrett,R,MI,07,MI07,(202) 225-4872,,,
Kristen McDonald Rivet,D,MI,08,MI08,(202) 225-3611,Flint,Flint|Saginaw|Bay City|Midland|Genesee County|Saginaw County|Bay County|Midland County|Tuscola County|Burton|Grand Blanc|Davison|Flushing|Clio|Swartz Creek|Frankenmuth|Birch Run|Essexville|Bridgeport|Vassar|Caro|Kristen McDonald Rivet,Y
Lisa McClain,R,MI,09,MI09,(202) 225-2106,,,
John James,R,MI,10,MI10,(202) 225-4961,,,
Haley Stevens,D,MI,11,MI11,(202) 225-8171,,,
Rashida Tlaib,D,MI,12,MI12,(202) 225-5126,,,
Shri Thanedar,D,MI,13,MI13,(202) 225-5802,,,
Brad Finstad,R,MN,01,MN01,(202) 225-2472,,,
Angie Craig,D,MN,02,MN02,(202) 225-2271,,,
Kelly Morrison,D,MN,03,MN03,(202) 225-2871,,,
Betty McCollum,D,MN,04,MN04,(202) 225-6631,,,
Ilhan Omar,D,MN,05,MN05,(202) 225-4755,,,
Tom Emmer,R,MN,06,MN06,(202) 225-2331,,,
Michelle Fischbach,R,MN,07,MN07,(202) 225-2165,,,
Pete Stauber,R,MN,08,MN08,(202) 225-6211,,,
Wesley Bell,D,MO,01,MO01,(202) 225-2406,,,
Ann Wagner,R,MO,02,MO02,(202) 225-1621,,,
Robert Onder Jr.,R,MO,03,MO03,(202) 225-2956,,,
Mark Alford,R,MO,04,MO04,(202) 225-2876,,,
Emanuel Cleaver,D,MO,05,MO05,(202) 225-4535,Kansas City,Kansas City|Independence|Blue Springs|Jackson County|Raytown|Grandview|Lee's Summit|Grain Valley|Oak Grove|Sugar Creek|Buckner,Y
Sam Graves,R,MO,06,MO06,(202) 225-7041,,,
Eric Burlison,R,MO,07,MO07,(202) 225-6536,,,
Jason Smith,R,MO,08,MO08,(202) 225-4404,,,
Kimberlyn King-Hinds,R,MP,Delegate,MPDelegate,(202) 225-2646,,,
Trent Kelly,R,MS,01,MS01,(202) 225-4306,,,
Bennie Thompson,D,MS,02,MS02,(202) 225-5876,,,
Michael Guest,R,MS,03,MS03,(202) 225-5031,,,
Mike Ezell,R,MS,04,MS04,(202) 225-5772,,,
Ryan Zinke,R,MT,01,MT01,(202) 225-5628,,,
Troy Downing,R,MT,02,MT02,(202) 225-3211,,,
Donald Davis,D,NC,01,NC01,(202) 225-3101,Eastern NC/Greenville,Eastern NC|Greenville|New Bern|Kinston|Pitt County|Rocky Mount|Wilson|Tarboro|Edenton|Elizabeth City|Goldsboro|Washington|Havelock|Jacksonville NC,Y
Deborah Ross,D,NC,02,NC02,(202) 225-3032,,,
Gregory Murphy,R,NC,03,NC03,(202) 225-3415,,,
Valerie Foushee,D,NC,04,NC04,(202) 225-1784,,,
Virginia Foxx,R,NC,05,NC05,(202) 225-2071,,,
Addison McDowell,R,NC,06,NC06,(202) 225-3065,,,
David Rouzer,R,NC,07,NC07,(202) 225-2731,,,
Mark Harris,R,NC,08,NC08,(202) 225-1976,,,
Richard Hudson,R,NC,09,NC09,(202) 225-3715,,,
Pat Harrigan,R,NC,10,NC10,(202) 225-2576,,,
Chuck Edwards,R,NC,11,NC11,(202) 225-6401,,,
Alma Adams,D,NC,12,NC12,(202) 225-1510,,,
Brad Knott,R,NC,13,NC13,(202) 225-4531,,,
Tim Moore,R,NC,14,NC14,(202) 225-5634,,,
Julie Fedorchak,R,ND,00,ND00,(202) 225-2611,,,
Mike Flood,R,NE,01,NE01,(202) 225-4806,,,
Don Bacon,R,NE,02,NE02,(202) 225-4155,Omaha,Omaha|Bellevue|Papillion|Douglas County|Sarpy County|La Vista|Ralston|Gretna|Elkhorn|Boys Town|Offutt|Millard|Dundee|Benson,Y
Adrian Smith,R,NE,03,NE03,(202) 225-6435,,,
Chris Pappas,D,NH,01,NH01,(202) 225-5456,,,
Maggie Goodlander,D,NH,02,NH02,(202) 225-5206,,,
Donald Norcross,D,NJ,01,NJ01,(202) 225-6501,,,
Jefferson Van Drew,R,NJ,02,NJ02,(202) 225-6572,,,
Herbert Conaway Jr.,D,NJ,03,NJ03,(202) 225-4765,,,
Christopher Smith,R,NJ,04,NJ04,(202) 225-3765,Monmouth/Shore,Monmouth|Jersey Shore|Freehold|Lakewood|Ocean County|Toms River|Jackson|Howell|Wall|Colts Neck|Manalapan|Brick|Point Pleasant|Asbury Park|Long Branch|Red Bank|Christopher Smith,Y
Josh Gottheimer,D,NJ,05,NJ05,(202) 225-4465,,,
Frank Pallone Jr.,D,NJ,06,NJ06,(202) 225-4671,,,
Thomas Kean Jr.,R,NJ,07,NJ07,(202) 225-5361,Central NJ/Summit,Central NJ|Summit|Westfield|Bridgewater|Somerset|Union County|Cranford|Scotch Plains|Berkeley Heights|New Providence|Warren|Watchung|Chatham|Madison|Florham Park|Livingston,Y
Robert Menendez,D,NJ,08,NJ08,(202) 225-7919,,,
Nellie Pou,D,NJ,09,NJ09,(202) 225-5751,,,
LaMonica McIver,D,NJ,10,NJ10,(202) 225-3436,,,
 ,,NJ,11,NJ11,(202) 225-5034,,,
Bonnie Watson Coleman,D,NJ,12,NJ12,(202) 225-5801,,,
Melanie Stansbury,D,NM,01,NM01,(202) 225-6316,,,
Gabe Vasquez,D,NM,02,NM02,(202) 225-2365,Las Cruces/Southern NM,Las Cruces|Southern NM|Dona Ana County|Alamogordo|Carlsbad|Deming|Silver City|Truth or Consequences|Roswell|Artesia|Hobbs|Lovington|Sunland Park|Anthony|Mesilla,Y
Teresa Leger Fernandez,D,NM,03,NM03,(202) 225-6190,,,
Dina Titus,D,NV,01,NV01,(202) 225-5965,,,
Mark Amodei,R,NV,02,NV02,(202) 225-6155,,,
Susie Lee,D,NV,03,NV03,(202) 225-3252,,,
Steven Horsford,D,NV,04,NV04,(202) 225-9894,,,
Nick LaLota,R,NY,01,NY01,(202) 225-3826,Eastern Long Island,Eastern Long Island|Hamptons|Riverhead|Suffolk County|Brookhaven|Smithtown|Port Jefferson|Patchogue|Southampton|East Hampton|Montauk|Shelter Island|Sag Harbor|Mattituck|Greenport,Y
Andrew Garbarino,R,NY,02,NY02,(202) 225-7896,South Shore Long Island,South Shore Long Island|Babylon|Islip|Suffolk County|Bay Shore|Lindenhurst|Amityville|Copiague|West Islip|Massapequa|Seaford|Wantagh|Bellmore|Merrick|Freeport,Y
Thomas Suozzi,D,NY,03,NY03,(202) 225-3335,,,
Laura Gillen,D,NY,04,NY04,(202) 225-5516,,,
Gregory Meeks,D,NY,05,NY05,(202) 225-3461,,,
Grace Meng,D,NY,06,NY06,(202) 225-2601,,,
Nydia Velázquez,D,NY,07,NY07,(202) 225-2361,,,
Hakeem Jeffries,D,NY,08,NY08,(202) 225-5936,,,
Yvette Clarke,D,NY,09,NY09,(202) 225-6231,,,
Daniel Goldman,D,NY,10,NY10,(202) 225-7944,,,
Nicole Malliotakis,R,NY,11,NY11,(202) 225-3371,Staten Island,Staten Island|Bay Ridge|Brooklyn|Dyker Heights|Bensonhurst|Bath Beach|Gravesend|New Dorp|Tottenville|Great Kills|Midland Beach|Todt Hill|St. George|Stapleton,Y
Jerrold Nadler,D,NY,12,NY12,(202) 225-5635,,,
Adriano Espaillat,D,NY,13,NY13,(202) 225-4365,,,
Alexandria Ocasio-Cortez,D,NY,14,NY14,(202) 225-3965,,,
Ritchie Torres,D,NY,15,NY15,(202) 225-4361,,,
George Latimer,D,NY,16,NY16,(202) 225-2464,,,
Michael Lawler,R,NY,17,NY17,(202) 225-6506,,,
Patrick Ryan,D,NY,18,NY18,(202) 225-5614,,,
Josh Riley,D,NY,19,NY19,(202) 225-5441,,,
Paul Tonko,D,NY,20,NY20,(202) 225-5076,,,
Elise Stefanik,R,NY,21,NY21,(202) 225-4611,,,
John Mannion,D,NY,22,NY22,(202) 225-3701,,,
Nicholas Langworthy,R,NY,23,NY23,(202) 225-3161,,,
Claudia Tenney,R,NY,24,NY24,(202) 225-3665,,,
Joseph Morelle,D,NY,25,NY25,(202) 225-3615,,,
Timothy Kennedy,D,NY,26,NY26,(202) 225-3306,,,
Greg Landsman,D,OH,01,OH01,(202) 225-2216,,,
David Taylor,R,OH,02,OH02,(202) 225-3164,,,
Joyce Beatty,D,OH,03,OH03,(202) 225-4324,,,
Jim Jordan,R,OH,04,OH04,(202) 225-2676,,,
Robert Latta,R,OH,05,OH05,(202) 225-6405,,,
Michael Rulli,R,OH,06,OH06,(202) 225-5705,Steubenville/Eastern OH,Steubenville|Eastern OH|Youngstown|Mahoning|Columbiana|Salem|East Liverpool|Lisbon|Boardman|Canfield|Poland|Austintown|Warren|Niles|Girard,Y
Max Miller,R,OH,07,OH07,(202) 225-3876,Northeast OH/Medina,Northeast OH|Medina|Wooster|Wadsworth|Wayne County|Brunswick|Strongsville|North Royalton|Broadview Heights|Lodi|Orrville|Rittman|Seville|Hinckley|Richfield,Y
Warren Davidson,R,OH,08,OH08,(202) 225-6205,Troy/Butler County,Troy|Butler County|Middletown|Hamilton|Preble County|Piqua|Sidney|Tipp City|Fairfield|Oxford|Lebanon|Monroe|Eaton|Greenville|Xenia,Y
Marcy Kaptur,D,OH,09,OH09,(202) 225-4146,,,
Michael Turner,R,OH,10,OH10,(202) 225-6465,Dayton,Dayton|Kettering|Beavercreek|Montgomery County|Centerville|Oakwood|Huber Heights|Fairborn|Riverside|Vandalia|Englewood|Miamisburg|Springboro|West Carrollton|Michael Turner,Y
Shontel Brown,D,OH,11,OH11,(202) 225-7032,,,
Troy Balderson,R,OH,12,OH12,(202) 225-5355,,,
Emilia Sykes,D,OH,13,OH13,(202) 225-6265,,,
David Joyce,R,OH,14,OH14,(202) 225-5731,,,
Mike Carey,R,OH,15,OH15,(202) 225-2015,,,
Kevin Hern,R,OK,01,OK01,(202) 225-2211,,,
Josh Brecheen,R,OK,02,OK02,(202) 225-2701,,,
Frank Lucas,R,OK,03,OK03,(202) 225-5565,,,
Tom Cole,R,OK,04,OK04,(202) 225-6165,,,
Stephanie Bice,R,OK,05,OK05,(202) 225-2132,,,
Suzanne Bonamici,D,OR,01,OR01,(202) 225-0855,,,
Cliff Bentz,R,OR,02,OR02,(202) 225-6730,,,
Maxine Dexter,D,OR,03,OR03,(202) 225-4811,,,
Val Hoyle,D,OR,04,OR04,(202) 225-6416,,,
Janelle Bynum,D,OR,05,OR05,(202) 225-5711,,,
Andrea Salinas,D,OR,06,OR06,(202) 225-5643,,,
Brian Fitzpatrick,R,PA,01,PA01,(202) 225-4276,,,
Brendan Boyle,D,PA,02,PA02,(202) 225-6111,,,
Dwight Evans,D,PA,03,PA03,(202) 225-4001,,,
Madeleine Dean,D,PA,04,PA04,(202) 225-4731,,,
Mary Gay Scanlon,D,PA,05,PA05,(202) 225-2011,,,
Chrissy Houlahan,D,PA,06,PA06,(202) 225-4315,,,
Ryan Mackenzie,R,PA,07,PA07,(202) 225-6411,,,
